Chromosome,Start,End,Width,Value,FWER,Nearest Symbol,Nearest Ensembl ID,Distance to Closest Gene,CpG Island?,Annotation,Cluster
chr15,74424587,74427137,2551,0.013792486,0,ISLR2,ENSG00000167178.15_2,0,CpG-Island,CDS,1:G-N+
chr9,131151541,131155994,4454,0.012193904,0,URM1,ENSG00000167118.10_1,0,CpG-Island,CDS,1:G-N+
chr9,131151541,131155994,4454,0.012193904,0,,ENSG00000272593.1_1,0,CpG-Island,CDS,1:G-N+
chr9,131151541,131155994,4454,0.012193904,0,MIR219-2,ENSG00000207955.4_2,0,CpG-Island,CDS,1:G-N+
chr1,1365573,1369393,3821,0.016208616,0,,ENSG00000225285.1_1,0,non-Island,Intron,1:G-N+
chr9,131166883,131172821,5939,0.014648757,0,CERCAM,ENSG00000167123.18_2,1208,non-Island,Promoter,1:G-N+
chr16,19867536,19873843,6308,0.012784544,0,IQCK,ENSG00000174628.16_2,0,non-Island,CDS,1:G-N+
chr16,19867536,19873843,6308,0.012784544,0,GPRC5B,ENSG00000167191.11_2,0,non-Island,CDS,1:G-N+
chr17,36585426,36593265,7840,0.012153703,0,NA,ENSG00000275832.4_1,0,CpG-Island,Intron,1:G-N+
chr4,154125453,154136572,11120,0.012808549,0,TRIM2,ENSG00000109654.14_2,0,non-Island,CDS,1:G-N+
chr16,1095178,1097164,1987,0.014598355,0,SSTR5-AS1,ENSG00000261713.6_1,16928,non-Island,Intergenic,1:G-N+
chr2,74663036,74667296,4261,0.015799285,0,RTKN,ENSG00000114993.15_1,0,CpG-Island,CDS,1:G-N+
chr20,62796650,62801208,4559,0.013411929,0,MYT1,ENSG00000196132.11_1,0,non-Island,Intron,1:G-N+
chr16,57299355,57305449,6095,0.013328801,0,PLLP,ENSG00000102934.9_1,0,non-Island,Intron,1:G-N+
chr17,79094262,79096115,1854,0.011011798,0,AATK,ENSG00000181409.11_1,0,CpG-Island,CDS,1:G-N+
chr7,150079273,150083645,4373,0.014440092,0,ZNF775,ENSG00000196456.10_2,0,non-Island,5'UTR,1:G-N+
chr7,150079273,150083645,4373,0.014440092,0,,ENSG00000239377.1_1,0,non-Island,5'UTR,1:G-N+
chr17,76916403,76920277,3875,0.013928244,0,TIMP2,ENSG00000035862.12_2,0,non-Island,5'UTR,1:G-N+
chr14,23845893,23850906,5014,0.013685954,0,CMTM5,ENSG00000166091.19_1,0,non-Island,CDS,1:G-N+
chr11,118479832,118481360,1529,0.011623891,0,PHLDB1,ENSG00000019144.17_2,0,CpG-Island,5'UTR,1:G-N+
chr11,69459258,69461451,2194,0.014121434,0,CCND1,ENSG00000110092.3_1,0,CpG-Island,Intron,1:G-N+
chr1,1360908,1362668,1761,0.01781173,0,TMEM88B,ENSG00000205116.3_1,0,CpG-Island,CDS,1:G-N+
chr6,170595195,170598180,2986,0.012280266,0,DLL1,ENSG00000198719.8_1,0,CpG-Island,CDS,1:G-N+
chr20,20390363,20394082,3720,0.017105604,0,RALGAPA2,ENSG00000188559.13_1,0,non-Island,CDS,1:G-N+
chr14,105964949,105967017,2069,0.012958189,0,C14orf80,ENSG00000185347.17_2,0,CpG-Island,CDS,1:G-N+
chr17,77892503,77894488,1986,0.01511578,0,,ENSG00000262585.1_1,0,non-Island,Intron,1:G-N+
chr17,77892503,77894488,1986,0.01511578,0,,ENSG00000262188.1_1,0,non-Island,Intron,1:G-N+
chr1,204434059,204437720,3662,0.015901245,0,PIK3C2B,ENSG00000133056.13_2,0,non-Island,CDS,1:G-N+
chr10,659479,662228,2750,0.012537432,0,DIP2C,ENSG00000151240.16_1,0,non-Island,Intron,1:G-N+
chr4,1491879,1492882,1004,0.015615953,0,,ENSG00000272783.1_1,59128,CpG-Island,Intergenic,1:G-N+
chr17,79361823,79364515,2693,0.01405298,0,,ENSG00000262877.4_1,0,non-Island,Intron,1:G-N+
chrX,107015747,107018504,2758,0.020165314,0,TSC22D3,ENSG00000157514.16_2,0,non-Island,CDS,1:G-N+
chr17,76714235,76718439,4205,0.016154941,0,CYTH1,ENSG00000108669.16_2,0,non-Island,Intron,1:G-N+
chr5,173291988,173294264,2277,0.018431079,0,CPEB4,ENSG00000113742.12_1,21018,non-Island,Intergenic,1:G-N+
chr15,31591638,31593895,2258,0.015685244,0,KLF13,ENSG00000169926.10_2,25162,non-Island,Intergenic,1:G-N+
chr5,1182772,1183931,1160,0.017926569,0,,ENSG00000249201.2_1,4051,non-Island,Intergenic,1:G-N+
chr3,51996040,52000752,4713,0.013588436,0,PCBP4,ENSG00000090097.20_2,0,non-Island,5'UTR,1:G-N+
chr3,51996040,52000752,4713,0.013588436,0,,ENSG00000272762.5_2,0,non-Island,5'UTR,1:G-N+
chr11,65083714,65085115,1402,0.022967943,0,CDC42EP2,ENSG00000149798.4_1,0,non-Island,5'UTR,1:G-N+
chr6,33712815,33715118,2304,0.015396716,0,IP6K3,ENSG00000161896.11_1,0,non-Island,5'UTR,1:G-N+
chr1,205637628,205640101,2474,0.014735104,0,SLC45A3,ENSG00000158715.5_1,0,non-Island,Intron,1:G-N+
chr22,41635458,41637306,1849,0.015221522,0,CHADL,ENSG00000100399.15_1,0,non-Island,CDS,1:G-N+
chr10,616722,618193,1472,0.014632488,0,DIP2C,ENSG00000151240.16_1,0,non-Island,Intron,1:G-N+
chr17,36578374,36580046,1673,0.018514779,0,NA,ENSG00000275832.4_1,0,non-Island,Intron,1:G-N+
chr20,62171627,62172363,737,0.014388258,0,SRMS,ENSG00000125508.3_1,0,non-Island,CDS,1:G-N+
chr13,110918164,110919277,1114,0.014966192,0,COL4A1,ENSG00000187498.14_2,0,CpG-Island,Intron,1:G-N+
chr13,110918164,110919277,1114,0.014966192,0,NA,ENSG00000279237.1_2,0,CpG-Island,Intron,1:G-N+
chr18,77336398,77337471,1074,0.014852665,0,,ENSG00000267287.1_1,0,non-Island,Promoter,1:G-N+
chr12,110169049,110170862,1814,0.015376756,0,FAM222A,ENSG00000139438.5_2,0,non-Island,Intron,1:G-N+
chr7,37320750,37325827,5078,0.015356939,0,ELMO1,ENSG00000155849.15_2,0,non-Island,Intron,1:G-N+
chr10,126277867,126279017,1151,0.015037364,0,LHPP,ENSG00000107902.13_1,0,CpG-Island,Intron,1:G-N+
chr2,236292815,236293777,963,0.0149804,0,,ENSG00000216002.1,57719,CpG-Island,Intergenic,1:G-N+
chr13,31305573,31306437,865,0.0156065,0,ALOX5AP,ENSG00000132965.9_1,0,non-Island,Intron,1:G-N+
chr1,7307982,7309479,1498,0.015827315,0,CAMTA1,ENSG00000171735.18_2,0,non-Island,Intron,1:G-N+
chr7,29371286,29373523,2238,0.015492953,0,CHN2,ENSG00000106069.20_2,0,non-Island,Intron,1:G-N+
chr16,1069796,1070485,690,0.015481245,0,,ENSG00000260496.3_1,18869,CpG-Island,Intergenic,1:G-N+
chr16,88192751,88193730,980,0.019790785,0,,ENSG00000260162.2_1,17164,non-Island,Intergenic,1:G-N+
chr19,1565602,1566450,849,0.019593719,0,MEX3D,ENSG00000181588.16_2,0,non-Island,Intron,1:G-N+
chr1,16081988,16083344,1357,0.018430462,0,FBLIM1,ENSG00000162458.12_2,0,non-Island,5'UTR,1:G-N+
chr17,71039146,71042085,2940,0.019780452,0,SLC39A11,ENSG00000133195.11_2,0,non-Island,Intron,1:G-N+
chr2,238244357,238245127,771,0.019551981,0,COL6A3,ENSG00000163359.15_2,0,non-Island,CDS,1:G-N+
chrX,103032004,103035788,3785,0.018221595,0,PLP1,ENSG00000123560.13_2,0,non-Island,Intron,1:G-N+
chr4,105684198,105686026,1829,0.01916332,0,,ENSG00000248242.1_2,0,non-Island,Intron,1:G-N+
chr2,127900763,127901969,1207,0.018087221,0,NIFKP9,ENSG00000237630.1_1,25617,non-Island,Intergenic,1:G-N+
chr6,136868212,136870390,2179,0.020941618,0,MAP7,ENSG00000135525.18_2,0,non-Island,Intron,1:G-N+
chr9,103236985,103237855,871,0.018500405,0,MSANTD3-TMEFF1,ENSG00000251349.3_2,0,non-Island,Intron,1:G-N+
chr9,103236985,103237855,871,0.018500405,0,TMEFF1,ENSG00000241697.4_2,0,non-Island,Intron,1:G-N+
chr5,124090055,124090736,682,0.021668064,0,ZNF608,ENSG00000168916.15_2,5554,non-Island,Intergenic,1:G-N+
chr17,56060685,56063395,2711,0.018344883,0,VEZF1,ENSG00000136451.8_2,0,non-Island,CDS,1:G-N+
chr3,134126025,134126428,404,0.018163334,0,,ENSG00000221313.2,2457,non-Island,Intergenic,1:G-N+
chr6,16134001,16135176,1176,0.022161985,0,MYLIP,ENSG00000007944.14_1,0,non-Island,Intron,1:G-N+
chr12,132105330,132107508,2179,0.012972903,0.004,,ENSG00000256258.1_1,0,non-Island,Intron,1:G-N+
chr14,65172103,65176221,4119,0.01249974,0.004,PLEKHG3,ENSG00000126822.16_2,0,non-Island,Intron,1:G-N+
chr12,110172513,110175711,3199,0.013549286,0.004,FAM222A,ENSG00000139438.5_2,0,non-Island,5'UTR,1:G-N+
chr12,110172513,110175711,3199,0.013549286,0.004,FAM222A-AS1,ENSG00000255650.5_1,0,non-Island,5'UTR,1:G-N+
chr19,38741925,38744928,3004,0.013565396,0.004,SPINT2,ENSG00000167642.12_2,0,non-Island,CDS,1:G-N+
chr19,38741925,38744928,3004,0.013565396,0.004,PPP1R14A,ENSG00000167641.10_1,0,non-Island,CDS,1:G-N+
chr1,45007611,45011616,4006,0.013728925,0.004,RNF220,ENSG00000187147.17_1,0,non-Island,Intron,1:G-N+
chr1,45007611,45011616,4006,0.013728925,0.004,MIR5584,ENSG00000263381.1,0,non-Island,Intron,1:G-N+
chr20,61174174,61175543,1370,0.014010456,0.004,,ENSG00000264490.3_1,0,non-Island,Intergenic,1:G-N+
chr20,61449060,61450689,1630,0.014224072,0.004,COL9A3,ENSG00000092758.15_2,0,non-Island,CDS,1:G-N+
chr12,111403407,111404687,1281,0.014271475,0.004,,ENSG00000185847.7_1,7394,non-Island,Intergenic,1:G-N+
